,CNTSCHID,CNTSTUID,SUBNATIO,ST004D01T,AGE,PARED,HISEI,IMMIG,DURECEC,REPEAT,SCCHANGE,STUBMI,ESCS,ICTHOME,ICTSCH,CULTPOSS,DISCLIMA,EMOSUPS,BEINGBULLIED,PERCOMP,BODYIMA,W_FSTUWT,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
10481,3200402.0,3209227.0,320200,2.0,15.42,10.0,22.57,1.0,0.0,0.0,,,-2.2065,,,-0.5508,,,,,,68.04871,360.884,371.312,351.011,318.488,367.273,303.634,335.245,356.28,288.691,370.032,409.231,424.024,372.77,414.446,398.277,437.068,408.791,348.181,383.149,401.708,360.295,376.192,439.678,453.655,312.643,365.916,348.531,308.124,364.056
10482,3200402.0,3210286.0,320200,2.0,15.5,12.0,23.8,1.0,1.0,0.0,,,-1.1908,,,-0.0219,-0.4796,1.0346,-0.7823,-1.0299,,68.04871,467.459,525.073,421.421,460.709,442.779,480.57,439.582,443.423,443.489,510.902,555.189,525.26,474.274,494.044,515.923,522.45,510.388,486.67,486.78,499.793,459.862,554.754,442.523,458.704,516.092,474.54,541.351,476.23,516.027
10483,3200402.0,3210310.0,320200,2.0,16.08,12.0,24.98,1.0,1.0,1.0,,,-1.7144,,,-0.9828,,,,,,68.04871,373.189,348.098,331.264,305.205,335.66,288.872,377.808,357.982,356.803,351.703,401.458,360.196,325.13,347.151,370.293,356.363,376.254,316.266,335.663,415.12,471.047,314.678,342.181,391.503,434.047,402.446,455.476,343.079,382.782
10484,3200402.0,3210669.0,320200,1.0,15.67,14.5,30.59,1.0,3.0,0.0,,,-0.7325,,,-0.152,-1.0336,1.0346,2.4122,0.0646,,69.22667,310.567,329.046,329.721,272.956,351.078,325.47,288.031,366.594,318.927,385.323,322.76,306.589,371.793,312.593,374.113,347.773,371.534,361.437,329.849,355.821,298.539,264.748,332.36,330.966,302.532,301.083,279.587,291.688,331.511
10485,3200402.0,3211362.0,320200,1.0,16.08,6.0,17.0,1.0,2.0,0.0,,,-3.0145,,,-0.9795,-0.6495,0.2169,-0.7823,0.0866,,69.22667,425.36,378.183,393.128,331.883,409.846,396.5,366.468,364.847,367.868,456.688,469.691,435.344,420.275,476.326,454.717,452.399,433.573,464.073,449.447,451.302,406.709,480.249,428.194,458.184,451.073,453.455,474.084,486.998,432.519
10486,3200402.0,3212562.0,320200,2.0,15.25,10.0,16.38,,,,,,-2.8478,,,-2.2054,-0.7602,,,,,96.70826,234.89,231.738,211.784,225.307,199.042,226.588,219.825,122.472,272.133,103.883,179.003,175.407,144.925,230.348,127.966,164.449,165.406,162.167,140.065,196.19,218.604,206.933,161.668,294.441,205.295,229.586,217.509,240.567,243.116
10487,3200402.0,3212597.0,320200,2.0,15.33,14.5,40.54,1.0,,0.0,,,-1.3803,,,-1.701,-0.9484,1.0346,2.0604,-0.6142,,68.04871,356.791,265.843,351.328,372.259,391.521,379.39,305.933,317.611,367.028,410.902,427.781,404.221,410.076,471.709,488.112,443.887,410.062,462.569,371.376,460.226,320.811,382.078,360.509,442.209,429.347,312.249,358.993,410.486,361.207
10488,3200402.0,3213261.0,320200,1.0,16.0,6.0,25.2,1.0,4.0,0.0,,,-2.373,,,-1.217,-1.1695,-0.6576,-0.7823,-0.6142,,69.22667,357.955,363.719,426.664,436.349,371.05,396.279,355.178,390.452,435.119,516.774,460.97,480.399,456.422,460.562,437.434,526.182,452.632,511.305,451.273,525.934,428.144,418.627,462.83,472.92,474.955,483.359,338.341,411.22,458.984
10489,3200402.0,3213304.0,320200,1.0,15.83,6.0,14.21,1.0,3.0,0.0,,,-2.776,,,-1.1166,-0.5218,,,,,69.22667,395.449,450.847,298.236,357.753,414.285,369.389,354.755,451.941,414.179,481.388,514.299,482.256,456.507,474.625,472.553,446.317,469.261,470.124,495.728,332.833,407.206,490.684,431.463,367.419,352.408,357.782,442.586,447.325,440.968
10490,3200402.0,3213634.0,320200,1.0,16.0,6.0,30.34,1.0,,1.0,,,-1.7627,,,0.4644,-1.3604,1.0346,,0.2865,,86.06283,284.677,370.535,319.683,308.767,331.513,327.793,309.564,353.451,333.183,444.329,410.545,460.132,434.213,414.514,408.364,455.505,421.037,381.212,419.205,375.366,331.773,448.612,390.712,328.505,291.378,407.783,364.385,413.531,429.227
10491,3200403.0,3200359.0,320100,1.0,15.75,6.0,16.5,1.0,2.0,0.0,,,-2.4757,,,-0.6234,-0.4477,-0.6576,-0.7823,-0.6142,,10.8648,391.062,442.05,466.25,417.846,395.631,381.51,378.534,450.577,463.738,505.356,457.977,503.783,509.621,501.064,473.781,520.825,508.256,541.066,521.253,409.007,448.795,444.523,472.413,450.443,462.68,409.413,437.01,449.354,415.59
10492,3200403.0,3200615.0,320100,1.0,16.17,14.5,44.94,1.0,5.0,0.0,,,-0.0842,,,-0.053,1.0294,-0.6576,-0.7823,-0.6142,,10.8648,565.4,564.196,554.234,540.228,551.765,555.952,544.28,530.665,518.427,554.746,568.951,559.868,566.721,476.528,574.987,547.475,586.996,576.899,587.374,556.945,597.168,554.944,607.771,561.505,602.414,532.476,519.83,501.375,507.3
10493,3200403.0,3201365.0,320100,1.0,15.33,17.0,74.66,1.0,2.0,0.0,,,0.5608,,,-0.8143,0.871,-0.6576,-0.7823,-1.558,,10.8648,481.905,490.752,505.389,491.409,471.641,410.557,476.353,575.665,414.893,510.837,527.002,541.536,545.539,552.029,510.725,500.469,520.272,575.826,528.029,478.956,506.846,473.392,501.229,458.757,474.027,465.566,483.581,540.297,489.922
10494,3200403.0,3201817.0,320100,1.0,15.25,17.0,79.74,1.0,3.0,0.0,,,0.9432,,,0.6568,-0.8179,-1.4902,-0.7823,-1.9892,,10.8648,426.253,465.574,446.905,496.549,410.73,443.804,471.86,459.298,498.868,460.732,454.851,417.609,404.05,483.255,483.551,458.132,505.624,528.528,473.209,396.647,422.269,486.831,483.558,463.867,407.496,503.112,436.398,412.262,453.707
10495,3200403.0,3202156.0,320100,1.0,15.92,17.0,76.65,1.0,2.0,0.0,,,0.424,,,-0.428,0.3264,1.0346,1.4721,-1.1126,,10.8648,449.795,445.086,431.906,410.072,440.171,462.068,403.551,429.655,471.446,474.646,511.033,507.303,541.099,477.691,477.645,489.354,440.596,501.674,521.16,480.43,419.891,471.248,497.845,453.089,419.493,512.974,450.297,466.045,478.078
10496,3200403.0,3202624.0,320100,1.0,15.92,17.0,44.94,1.0,5.0,0.0,,,-0.0719,,,0.1095,0.871,1.0346,-0.7823,-1.558,,10.8648,490.524,553.684,538.995,497.887,468.999,504.579,542.3,456.368,443.055,482.383,462.899,476.871,513.369,489.899,472.85,469.914,557.846,497.847,474.424,473.157,573.458,512.479,517.789,544.622,558.855,519.991,558.532,556.847,506.152
