,CNTSCHID,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM
79,3200082.0,public,3.0,4.275,171.0,,,40.0,1.0,0.05,0.95,0.05,23.0,1.0,1.2048,,0.8273,-0.2079,0.1329,88.5989,1761.15256
80,3200083.0,public,3.0,8.4151,223.0,0.15,0.0,26.5,1.0,0.4906,0.4151,0.0189,38.0,1.0,1.2478,-1.4551,-0.0155,0.2266,0.9042,15.36138,445.45634
81,3200084.0,public,3.0,,,,0.0,32.0,1.0,0.7813,0.2344,0.0469,33.0,3.0,0.0574,0.1077,0.3037,0.8952,-0.3006,7.68069,306.24539
82,3200085.0,public,3.0,5.5,187.0,0.0,,34.0,1.0,0.9118,0.0882,0.0,33.0,0.0,0.7681,0.028,1.2502,0.1875,0.9042,9.07407,342.61459
83,3200086.0,public,3.0,,380.0,0.3385,0.4545,,,,,,18.0,3.0,0.6191,0.4487,1.9573,1.3648,-4.0518,7.07852,614.68216
84,3200087.0,public,3.0,,,,0.1667,265.0,1.0,0.7717,0.1849,0.0811,53.0,1.0,2.1815,1.5683,3.441,0.9054,0.9042,1.3728,493.52634
85,3200088.0,public,3.0,6.7333,202.0,0.0,,30.0,,,0.0,0.0,48.0,2.0,2.9595,0.8439,1.2848,1.1035,-0.6263,87.11143,2085.79789
86,3200089.0,public,3.0,3.4937,1380.0,0.1261,0.5,395.0,1.0,1.0,0.038,,53.0,0.0,1.4743,0.122,1.1262,0.8952,0.9042,16.48054,3416.38589
87,3200090.0,private,2.0,9.8734,390.0,0.0,,39.5,1.0,0.8608,0.1392,0.0633,53.0,0.0,1.2478,0.4487,0.3442,0.5551,0.287,48.61945,3193.10379
88,3200091.0,public,3.0,8.5333,768.0,0.4779,0.0,90.0,1.0,0.6944,0.1667,0.1167,23.0,2.0,2.9595,0.6045,0.4279,1.1913,-0.061,3.48481,481.88141
89,3200092.0,public,3.0,10.768,673.0,0.1212,1.0,62.5,1.0,0.0,1.0,0.24,28.0,2.0,0.265,0.2633,0.8942,0.5551,-1.0086,5.00138,436.42738
90,3200093.0,public,3.0,8.44,422.0,0.2273,0.0,50.0,1.0,0.5,0.3,0.2,53.0,1.0,0.8802,-0.5869,-0.4515,0.5642,0.9042,9.92582,567.9614
91,3200094.0,private,2.0,6.1404,175.0,0.0,,28.5,1.0,1.0,0.0,0.0351,28.0,1.0,2.9595,0.531,1.5616,1.1337,0.9042,76.56327,1505.1026
92,3200095.0,public,3.0,,940.0,0.026,0.0,,,,,,23.0,3.0,0.6083,0.1893,-1.0431,-0.2472,-1.585,2.7793,512.35982
